RoomNo,Events,Action1,Location,action2,Location,Action3,Location,Action4,Location,Action4,Location,Action4,Location,,,,,,
1,StartRoom,Dialogue,Start_1,,,,,,,,,,,,,,,,
2,StartRoom,Dialogue,Start_2,TrustUp,2,,,,,,,,,,,,,,
3,CombatRoom,Dialogue,MirrorOrgans_1,Move,6.49|-11.21,Combat,Enemy_1|5|5,Dialogue,MirrorOrgans_2,,,,,,,,,,
4,EventRoom,React,0,Dialogue,ManFindRelative,,,,,,,,,,,,,,
5,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
6,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
7,EventRoom,React,0,Dialogue,IntroduceWater_1,Move,2.83|-11.16,Animation,Protagonist|Recover,Recover,30,Dialogue,IntroduceWater_2,,,,,,
8,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
9,EventRoom,React,0,Dialogue,Pillar,,,,,,,,,,,,,,
10,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
11,CombatRoom,Dialogue,Fruit_1,Move,6.49|-11.21,Combat,Enemy_1|5|5,Dialogue,Fruit_2,,,,,,,,,,
12,RecoverRoom,React,0,Move,2.83|-11.16,Animation,Protagonist|Recover,Recover,30,Dialogue,RecoverChat_1,,,,,,,,
13,EventRoom,React,0,Dialogue,SkeletonWithScrip_1,Move,7.4|-10.35,Animation,Protagonist|Pick,Dialogue,SkeletonWithScrip_1,,,,,,,,
14,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
15,EventRoom,React,0,Dialogue,ManFindBrother,,,,,,,,,,,,,,
16,EventRoom,React,0,Dialogue,NanaLauraDream,,,,,,,,,,,,,,
17,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
18,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
19,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
20,EventRoom,React,0,Dialogue,Anchor,,,,,,,,,,,,,,
21,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
